employeeID,gender,edu,salary,month
1,m,15,57000,98
2,m,16,40200,98
3,f,12,21450,98
4,f,8,21900,98
5,m,15,45000,98
6,m,,32100,98
7,,15,36000,98
8,f,12,,
9,f,15,27900,98
10,f,12,24000,98
11,f,16,30300,98
12,m,8,28350,98
13,m,15,27750,98
14,f,15,35100,98
15,m,12,27300,97
16,m,12,40800,97
17,m,15,46000,97
18,m,16,103750,97
19,m,12,42300,97
20,f,,26250,97
21,f,16,38850,97
22,m,12,21750,97
23,f,15,24000,97
24,f,12,16950,97
25,f,15,21150,97
26,m,15,31050,96
27,m,19,60375,96
28,m,15,32550,96
29,m,19,135000,96
30,m,15,31200,96
31,m,12,,96
32,m,19,110625,96
33,m,15,42000,96
34,m,19,92000,96
35,m,17,81250,96
36,f,8,31350,
37,m,12,,96
38,m,15,31350,96
39,m,16,36000,96
40,f,15,19200,96
41,,12,23550,96
42,m,15,35100,95
43,m,12,23250,95
44,m,8,29250,95
45,m,12,30750,95
46,f,15,22350,95
47,f,12,30000,95
48,m,12,30750,94
49,m,15,34800,94
50,m,16,60000,94
51,m,12,35550,94
52,m,15,45150,94
53,m,18,73750,94
54,m,12,25050,94
55,m,,27000,94
56,m,15,26850,94
57,m,15,33900,94
58,f,15,26400,94
59,m,15,28050,94
60,m,12,,94
61,m,8,22500,94
62,m,16,48000,93
63,m,17,55000,
64,m,16,53125,93
65,m,8,21900,93
66,m,19,78125,93
67,m,16,46000,93
68,m,16,45250,93
69,m,16,56550,93
70,m,15,41100,93
71,m,17,82500,93
72,f,16,54000,93
73,f,12,26400,93
74,f,15,33900,93
75,f,15,24150,93
76,f,15,29250,93
77,f,12,27600,93
78,f,12,22950,93
79,f,16,34800,93
80,f,16,51000,93
81,f,12,24300,93
82,f,,24750,93
83,f,12,22950,93
84,f,8,25050,93
85,m,15,25950,92
86,m,15,31650,92
87,m,12,24150,92
88,m,19,72500,92
89,m,19,68750,92
90,f,8,16200,92
91,f,12,20100,92
92,f,8,24000,92
93,f,12,25950,92
94,f,12,24600,92
95,f,12,28500,92
96,m,8,30750,92
97,m,17,40200,92
98,m,8,30000,92
99,f,12,22050,92
100,m,18,78250,91
101,m,16,60625,91
102,m,14,39900,91
103,m,,97000,91
104,m,15,27450,91
105,m,15,31650,91
106,m,19,91250,91
107,f,12,25200,91
108,f,12,21000,91
109,m,12,30450,91
110,m,15,28350,91
111,m,12,30750,91
112,m,12,30750,91
113,m,16,54875,90
114,m,14,37800,90
115,m,15,33450,90
116,m,15,30300,90
117,f,12,31500,90
118,f,12,31650,90
119,f,12,25200,90
120,f,16,37800,90
121,f,,18750,90
122,f,15,32550,90
123,f,12,33300,90
124,f,16,38550,90
125,m,12,27450,90
126,m,15,24300,90
127,m,12,30750,90
128,f,12,19650,90
129,m,17,68750,89
130,m,20,59375,89
131,m,15,31500,89
132,m,12,,89
133,m,15,27000,89
134,f,16,41550,89
135,f,12,26250,89
136,m,12,22200,88
137,m,21,65000,88
138,m,,30900,88
139,f,8,20100,88
140,f,12,22350,88
141,f,15,35550,88
142,f,12,,88
143,f,12,24450,88
144,f,8,16650,88
145,m,12,26700,88
146,m,18,43950,88
147,m,15,23700,88
148,f,15,26550,88
149,m,12,27600,87
150,m,12,25800,87
151,m,16,42300,87
152,m,8,,
153,f,12,26700,87
154,f,12,,
155,m,15,35250,87
156,m,15,26700,87
157,f,12,26550,
158,f,,27750,87
159,f,16,25050,87
160,,16,,86
161,m,16,52650,86
162,m,16,45625,86
163,m,,30900,86
164,f,15,29400,86
165,f,15,33300,86
166,f,12,21900,86
167,f,12,18150,86
168,f,16,46875,86
169,m,12,25500,86
170,m,12,26550,86
171,m,12,26700,86
172,f,15,29850,86
173,m,20,69250,85
174,m,8,31950,85
175,m,8,26250,85
176,f,16,35700,85
177,f,12,28500,85
178,f,12,17100,85
179,m,12,25200,85
180,f,12,24000,85
181,f,12,27450,85
182,f,12,18450,85
183,m,15,39300,84
184,m,15,38850,84
185,m,8,30750,84
186,m,15,37500,84
187,m,16,58750,84
188,f,12,34500,84
189,f,12,36000,84
190,f,8,29100,84
191,f,12,16500,84
192,m,12,19650,84
193,f,12,24750,84
194,f,15,27150,84
195,f,12,26400,84
196,f,16,23100,84
197,,,,83
198,m,19,70875,83
199,m,16,51250,83
200,m,17,67500,83
201,m,12,29340,83
202,m,15,39600,83
203,m,12,29100,83
204,m,15,,83
205,m,16,66750,83
206,m,12,,83
207,m,15,27300,83
208,f,12,24000,83
209,f,8,19800,83
210,m,15,30600,83
211,m,15,28950,83
212,m,15,38400,83
213,m,8,30750,83
214,f,12,20400,83
215,f,12,19200,83
216,m,15,30150,82
217,m,16,34620,82
218,m,15,80000,82
219,m,12,25350,82
220,m,12,29850,82
221,f,12,24000,82
222,f,15,27750,82
223,f,,22350,82
224,f,12,16200,82
225,f,15,21900,82
226,f,16,,82
227,f,12,33900,82
228,f,,25650,82
229,f,12,17250,82
230,m,15,22500,82
231,m,16,40200,81
232,m,19,55500,81
233,m,15,26550,81
234,m,15,50550,81
235,m,19,75000,81
236,f,8,27450,81
237,f,12,22650,81
238,f,12,,81
239,f,12,27750,81
240,f,16,54375,81
241,f,8,17400,81
242,f,12,40800,81
243,f,12,,81
244,f,8,22500,81
245,f,12,26700,81
246,f,12,24900,81
247,f,12,19650,81
248,f,12,22050,81
249,f,12,,81
250,f,15,28200,81
251,f,12,23100,81
252,m,12,25500,81
253,f,8,17100,81
254,m,18,68125,80
255,m,12,30600,80
256,m,19,52125,80
257,m,19,61875,80
258,m,8,21300,80
259,f,12,19650,80
260,f,12,22350,80
261,f,12,23400,80
262,f,12,24300,80
263,f,12,28500,80
264,f,12,19950,80
265,f,12,23400,80
266,f,16,34500,80
267,f,12,18150,80
268,m,12,22350,80
269,m,15,40200,79
270,m,15,28650,79
271,m,15,27750,79
272,m,18,66875,79
273,m,12,30000,79
274,m,16,83750,79
275,m,12,33900,79
276,m,16,56500,79
277,f,16,43000,79
278,f,8,20850,79
279,f,12,24450,79
280,f,12,24750,79
281,m,8,34500,79
282,m,14,27900,79
283,m,19,68125,78
284,m,19,73500,78
285,m,8,30750,78
286,m,15,40050,78
287,m,16,40350,78
288,m,15,38700,78
289,m,17,65000,78
290,m,18,51450,78
291,m,12,35250,78
292,m,14,25950,78
293,m,15,25050,78
294,m,12,26700,78
295,m,8,24000,78
296,m,12,26850,78
297,f,12,23400,78
298,f,12,24600,78
299,f,15,32550,78
300,m,16,26550,78
301,m,12,31500,78
302,m,8,22350,78
303,m,12,35250,78
304,f,15,25800,78
305,m,12,30750,77
306,m,15,30750,77
307,m,16,50000,77
308,m,15,34500,77
309,m,15,26250,77
310,m,16,44875,77
311,f,12,22500,77
312,f,12,25650,77
313,f,12,21300,77
314,f,12,29850,77
315,f,12,34500,77
316,m,15,27750,77
317,m,12,27750,77
318,m,16,48750,76
319,m,15,43410,76
320,m,12,22050,76
321,f,12,22050,76
322,f,12,22500,76
323,f,15,25500,76
324,f,12,29160,76
325,f,8,16800,76
326,m,8,29550,76
327,m,12,26700,76
328,m,18,55000,75
329,m,18,62500,75
330,m,15,27300,75
331,f,12,24450,75
332,f,16,33000,75
333,f,15,37050,75
334,f,12,24450,75
335,m,8,31950,74
336,m,16,47250,74
337,f,12,26100,74
338,f,8,15900,74
339,f,8,23700,74
340,f,8,21750,74
341,m,12,59400,74
342,f,12,24450,74
343,m,16,103500,73
344,m,12,35700,73
345,f,12,22200,73
346,f,15,22950,73
347,f,12,23100,73
348,f,16,56750,73
349,f,17,29100,73
350,f,12,37650,73
351,f,12,27900,73
352,f,8,21150,73
353,m,12,31200,73
354,f,12,20550,73
355,m,15,25950,72
356,m,15,28350,72
357,f,8,17700,72
358,f,15,23550,72
359,f,12,19950,72
360,f,12,29400,72
361,f,12,28800,72
362,f,8,16950,72
363,m,16,35700,72
364,f,12,17400,72
365,f,8,21450,72
366,f,12,24750,72
367,f,12,16950,72
368,f,12,26100,72
369,m,14,28050,71
370,f,16,36600,71
371,f,16,58125,71
372,m,15,21300,70
373,m,12,22500,70
374,m,15,29400,70
375,m,12,27450,70
376,m,15,29850,70
377,m,15,25350,70
378,f,8,15750,70
379,f,8,19650,70
380,f,12,21000,70
381,m,17,27000,70
382,m,12,24000,70
383,m,17,78500,70
384,f,12,20850,70
385,m,12,30000,69
386,m,8,28500,69
387,m,19,65000,69
388,m,14,30150,69
389,m,19,66875,69
390,f,15,24150,69
391,f,12,24450,69
392,f,12,21600,69
393,f,12,27900,69
394,f,8,29100,69
395,f,12,22650,69
396,f,12,20850,69
397,f,12,22950,69
398,f,12,30600,69
399,f,12,20400,69
400,f,12,23850,69
401,f,12,22800,69
402,f,12,20700,69
403,f,12,21300,69
404,f,12,24300,69
405,f,12,19650,69
406,m,17,60000,68
407,m,15,30300,68
408,m,19,61250,68
409,m,19,36000,68
410,f,8,25200,68
411,f,12,16200,68
412,f,12,22800,68
413,f,16,43500,68
414,m,8,30300,68
415,m,15,31950,68
416,m,15,35250,67
417,m,15,37800,67
418,m,15,31200,67
419,m,15,29400,67
420,m,19,70000,67
421,m,15,33900,67
422,m,15,27150,67
423,f,12,22200,67
424,f,15,31350,67
425,f,12,20850,67
426,m,16,33300,67
427,m,8,26250,67
428,m,15,31950,67
429,m,8,30000,67
430,m,19,66250,67
431,m,18,86250,66
432,m,12,30750,66
433,m,12,33540,66
434,m,16,34950,66
435,m,15,40350,66
436,m,12,30270,66
437,m,8,26250,66
438,m,15,32400,66
439,f,12,20400,66
440,f,8,24150,66
441,f,15,23850,66
442,f,12,29700,66
443,f,8,21600,66
444,f,12,24450,66
445,m,15,28050,66
446,m,16,100000,66
447,m,15,49000,66
448,f,12,16350,66
449,m,16,70000,65
450,m,19,55000,65
451,m,15,28500,65
452,m,12,28800,65
453,m,15,24450,65
454,m,19,90625,65
455,m,16,43650,65
456,m,19,75000,65
457,m,15,31650,65
458,m,19,61875,65
459,f,12,21750,65
460,f,12,22500,65
461,f,8,21600,65
462,f,16,34410,65
463,f,15,20700,65
464,m,19,47550,64
465,m,12,33900,64
466,f,12,23400,64
467,f,16,32850,64
468,f,16,55750,64
469,f,15,25200,64
470,m,12,26250,64
471,m,15,26400,64
472,m,15,39150,63
473,f,12,21450,63
474,f,12,29400,63
